@.potionbrewer,17,3,55,5,56,4,16,14,21,29,71,57,15,62,47,70,2,1,12,13,11,27,58,36,46,26,45,59,54,40,53,10,28,52,37,20,38,42,63,48,61,64,18,51,30,25,67,24,32,60,33,9,69,39,44,34,31,23,35,66,7,65,68,22,49,8,43,50,6,19,41
@3725,35,30,53,1,49,52,36,63,29,33,20,67,25,17,48,61,2,21,38,3,28,13,15,47,32,31,54,64,70,11,12,43,26,5,40,19,62,65,68,59,7,41,10,24,6,44,16,37,69,57,71,50,66,39,22,56,14,27,46,55,58,51,9,4,34,45,23,18,42,60,8
@smoov22,31,3,56,57,15,32,40,38,61,25,70,28,52,37,26,30,55,35,49,41,9,53,10,65,7,33,14,59,71,17,36,67,22,20,27,12,39,44,68,43,54,21,6,34,29,47,4,16,50,66,18,63,62,13,8,2,5,58,69,24,46,1,19,42,48,51,11,45,64,60,23
@terryl7795,31,30,3,63,64,29,65,55,7,45,37,54,48,46,62,38,47,53,44,25,13,56,5,43,27,70,14,68,71,15,69,24,12,9,42,57,41,26,59,52,58,1,60,36,6,28,10,34,35,40,23,50,51,11,22,8,16,2,61,4,32,49,39,21,33,20,19,18,66,17,67
@reddrop,53,47,12,46,39,9,51,14,18,21,60,27,16,35,61,29,49,62,56,10,3,1,30,50,58,66,25,70,40,8,59,71,38,5,4,36,69,34,65,28,57,55,22,44,11,41,24,31,37,23,64,68,67,2,32,33,6,52,48,13,42,63,45,20,15,26,7,19,54,17,43
@m_acks,63,33,18,48,17,12,16,2,20,13,64,43,27,26,31,59,50,41,47,7,3,1,38,44,57,49,40,68,53,9,51,69,15,25,10,34,65,29,66,35,58,36,19,60,14,39,8,21,56,45,55,70,71,11,22,32,4,46,54,6,37,52,61,42,30,23,5,24,67,28,62
@gooberdude,66,35,59,69,16,43,54,15,1,38,33,51,49,27,24,19,58,41,60,52,3,48,26,12,44,36,2,70,71,17,21,55,28,63,14,30,18,37,57,45,56,32,61,31,23,13,11,5,65,7,62,68,50,40,34,10,4,67,53,22,64,20,25,47,42,8,29,6,46,9,39
@franklooo,54,24,62,65,2,43,38,47,37,66,59,10,55,16,17,7,67,69,28,19,1,13,41,35,56,61,8,70,49,4,46,68,60,5,6,42,15,50,31,51,48,44,30,22,33,3,9,52,27,11,53,71,64,21,18,45,40,63,34,20,32,25,29,26,23,57,36,14,39,58,12
@puppytwink,59,41,6,15,64,44,38,21,63,34,65,62,51,30,70,45,58,5,61,43,17,47,57,10,66,26,13,69,50,40,25,9,42,18,55,23,56,36,71,49,33,68,4,22,54,52,8,20,28,16,32,14,24,37,3,11,48,60,29,35,2,67,46,31,7,53,12,39,27,1,19
@lukexa_,45,19,28,71,44,35,50,7,51,36,67,65,30,58,56,39,48,24,59,29,1,2,43,3,63,55,12,62,70,20,68,49,31,13,25,22,23,10,5,40,41,14,17,27,38,15,8,66,57,33,61,69,54,37,11,46,42,64,53,6,26,32,34,21,4,16,52,9,60,18,47
@mattyb1648,57,22,59,47,9,4,20,12,15,30,69,27,55,56,53,36,32,62,70,11,7,44,67,45,65,33,24,71,43,51,61,26,28,14,21,41,38,2,58,34,63,68,1,16,8,19,17,46,52,42,40,64,54,29,6,35,18,25,60,5,13,66,31,37,48,3,50,10,49,23,39
@mulch0304,71,13,7,17,38,36,32,22,48,1,68,54,51,61,42,29,30,10,64,43,9,28,59,57,52,44,23,56,41,53,47,27,39,31,15,5,11,25,69,35,49,65,2,16,6,26,33,20,50,62,34,70,55,21,4,60,37,46,66,18,3,67,19,8,45,24,12,14,58,40,63
